i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
241 1.14984 0 4.5163 0.007968 0.006144 0.006144 0.006144 0.00512 0.006112 0.00512
242 1.15415 0 4.6334 0.008192 0.006144 0.005984 0.006144 0.005248 0.006112 0.004192
243 1.12652 0 4.835 0.006144 0.006144 0.006144 0.006144 0.004928 0.004096 0.004288
244 1.12981 0 4.985 0.009216 0.007168 0.006144 0.006144 0.00512 0.005344 0.004096
245 1.14625 0 5.0091 0.008256 0.006144 0.005248 0.00608 0.006144 0.006112 0.00512
246 1.15017 0 4.7783 0.008192 0.006144 0.006144 0.006144 0.005184 0.006144 0.004192
247 1.17582 0 4.673 0.008192 0.006016 0.00608 0.006144 0.006144 0.006144 0.004896
248 1.13202 0 4.8061 0.008192 0.006112 0.00512 0.006144 0.005344 0.006144 0.004096
249 1.13139 0 4.8255 0.007168 0.006048 0.006144 0.006144 0.006144 0.006144 0.003904
250 1.17532 0 4.5469 0.008448 0.00608 0.00608 0.006144 0.006144 0.006144 0.004096
251 1.14126 0 4.6849 0.008192 0.006144 0.006144 0.00608 0.005344 0.00608 0.005024
252 1.15759 0 4.8444 0.008192 0.006144 0.005952 0.00704 0.005376 0.006144 0.004
253 1.10581 0 5.2405 0.008288 0.005312 0.00528 0.006144 0.00512 0.006144 0.00512
254 1.13089 0 4.8742 0.00912 0.006144 0.005184 0.006144 0.006144 0.006144 0.004096
255 1.14957 0 5.0697 0.008128 0.006176 0.006144 0.006144 0.006144 0.00608 0.004928
256 1.13396 0 4.6642 0.009088 0.006144 0.006144 0.006048 0.006144 0.006144 0.004096
257 1.15675 0 4.7062 0.008192 0.006144 0.005952 0.006144 0.006144 0.006144 0.004864
258 1.12618 0 4.6663 0.008192 0.006144 0.005952 0.006144 0.006144 0.006144 0.004096
259 1.1162 0 4.8999 0.008192 0.00512 0.006144 0.006144 0.005248 0.006144 0.004256
260 1.17294 0 4.8355 0.008192 0.006144 0.005856 0.006144 0.005152 0.006144 0.004096
